channel,provider_source_id
HRTV,32258
HRTVC,32258
CHRCC,122276
CHRCH,122276
LINK,21450
LINKC,21450
CSP2A,10162
CSP2C,10162
EWTN,10183
EWTNC,10183
RURAL,10188
RURAL1,10188
HSN,10269
IFC1,14873
IFCC,14873
FUSE,14929
FUSE1,14929
NASA1,12553
ENLC,33527
ENLC2,33527
SYFY,11097
SYFYC,11097
FSTV,16220
FSTVC,16220
TBN,14767
TBNC,14767
SHNB1,14948
SHNB2,14948
SHNBC,14948
SHPHQ,14948
VH1,11218
VH1C,11218
SITV1,18262
NTGHD,49438
REELC,52199
REELZ,52199
BAB1C,50338
BABY,50338
BABY1,50338
BABY2,50338
BABY3,50338
V-ME1,55250
V-MEC,55250
FOXB,58649
FOXBC,58649
APLHD,57394
APLHDF,57394
TWCH,58812
SYFYHD,58623
FOXBHD,58718
FXHD,58574
WEHD,59296
WEHD1T,59296
IFCHD,59444
FUSEHD,59116
SPIKH,59186
CMTHD,59440
ABCFH,59615
QVC1H,60222
LIFHD,60150
VH1HD,60046
WE1,16409
WE1T,16409
WE2T,16409
WEC,16409
HSNH,62077
HSNH1,62077
CTN,49128
CTNC,49128
HNNHD,64549
LQ_CH,56032
LQ_CH1,56032
LQ_CH2,56032
GEMS,26643
SBN,67676
CMT,10138
CMTC,10138
POPH,68796
REELH,68385
BOUNC,73067
WN,72413
WN1,72413
WN2,72413
WN2C,72413
HSN2,10270
WNH,72422
3ABN,10002
F/X1,14321
FXC,14321
FXD,14321
SPIKC,11163
SPIKE,11163
HLNC,10145
HNN,10145
CMTMU,18717
TWC,11187
TWCC,11187
QVC1,11069
QVC3,11069
QVCC,11069
LIFE,10918
LIFEC,10918
ABCFC,10093
ABCFM,10093
ABCFM1,10093
CSPAC,10161
CSPAN,10161
APL,16331
APLC,16331
APLF,16331
APLF1,16331
TVGN,16715
TVGNC,16715
JTV,16604
JTV1,16604
TVGAC,21345
TVGAM,21345
HITN1,17142
HITNC,17142
NTGEC,24959
NTGEO,24959
NTGEOT,24959
DYSTC,19026
DYSTR,19026
AXSHD,28506
SHPHQH,14948
IMPCT,71798
IMPCT1,71798
COWBYH,80597
FOXS1H,82547
FOXS1,82541
FOXS1S,82541
QVC+,82682
JUSTC,79670
GETTV,82563
FETV,73413
RIDE,90880
RIDEH,90858
HERIC,90401
HERIC1,90401
NEWSX,87925
NEWSXH,97163
AXS3,28506
AXS2,92053
BUZZR,93430
BVOV,93024
COMET,97051
DN217,89922
DN256,10992
DN9646,101260
HUNT,60111
BHTV,92091
START,109454
FOLK,45397
COMETH,97051
BNC,113492
A&E,10035
A&EC,10035
A&EHD,51529
AMC1,10021
AMCC,10021
AMCHD,59337
CMDY,10149
CMDY1,10149
CMDY2,10149
CMDYC,10149
CMDYD,10149
CMDYH,62420
CMDYH1,62420
CNN,10142
CNNC,10142
CNND,10142
CNNHD,58646
DISC,11150
DISCC,11150
DISCD,11150
DISCFV,16618
DISCFV1,16618
DISCFVH,67749
DISCH,56905
DISEH,59684
DISW,12510
DISWC,12510
ES2H1,45507
ESNWC,16485
ESNWS,16485
ESNWS1,16485
ESNWSH,59976
ESP2C,12444
ESPHD,32645
ESPN,10179
ESPN2,12444
ESPN2D,12444
ESPNC,10179
ESPND2,10179
ESPU1,45654
ESPU2,45654
ESPUC,45654
ESPUH,60696
FOOD,12574
FOODC,12574
FOODH,50747
FXNWC,60179
FXNWH,60179
FXNWS,60179
FXNWSD,60179
GSNHD,68827
HGTV,14902
HGTVC,14902
HGTVHD,49788
HISEC,43362
HIST,14771
HISTC,14771
HISTE,43362
HISTEF,43362
HISTEF1,43362
HISTH,57708
HLMKC,11221
HLMRK,11221
HMC1,11221
HMC2,11221
HMC3,11221
HMCH1,66268
ID,16615
IDC,16615
IDHD,65342
INSP,11066
MTV,10986
MTV2,16361
MTV2C,16361
MTVC,10986
MTVHD,60964
MTVHT,30418
MTVU,44228
NICK,11006
NICKC,11006
NICKH,59432
NICKW,11007
NICKWH,64591
NICWC,11007
NKJR,19211
NKJRC,19211
NKJRT,19211
NKJRT1,19211
PLDIA,49141
SCIEHF,67749
TBS1,11867
TBSC,11867
TBSD,11867
TBSHD,58515
TBSV,11867
TLC1,11158
TLCC,11158
TLCHD,57391
TNCK,59036
TNCKC,59036
TNT,11164
TNTC,11164
TNTD,11164
TNTHD,42642
TOON,12131
TOONC,12131
TOOND,11164
TOONH,60048
TOONW,18151
TOOWC,18151
TVLNC,16123
TVLND,16123
UNVNC,11118
UNVS1,11118
UNVSHD,68049
UNVSN,11118
UNVSW,14762
UNV-T,11118
UNVWC,14762
WNYWD,11867